/scratch/gi/studprj/metaclassify/data_sets//PhymmBL/res/scientific_names.txt

Acaryochloris marina
Acholeplasma laidlawii
Acidiphilium cryptum
Acidithiobacillus ferrooxidans
Acidothermus cellulolyticus
Acidovorax citrulli
Acidovorax sp.
Acinetobacter baumannii
Acinetobacter sp.
Actinobacillus pleuropneumoniae
Actinobacillus succinogenes
Aeromonas hydrophila
Aeromonas salmonicida
Aeropyrum pernix
Agrobacterium tumefaciens
Akkermansia muciniphila
Alcanivorax borkumensis
Aliivibrio salmonicida
Alkalilimnicola ehrlichii
Alkaliphilus metalliredigens
Alkaliphilus oremlandii
Alteromonas macleodii
Anabaena variabilis
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp.
Anaplasma marginale
Anaplasma phagocytophilum
Aquifex aeolicus
Archaeoglobus fulgidus
Arcobacter butzleri
Aromatoleum aromaticum
Arthrobacter aurescens
Arthrobacter sp.
Aster yellows
Azoarcus sp.
Azorhizobium caulinodans
Bacillus amyloliquefaciens
Bacillus anthracis
Bacillus cereus
Bacillus clausii
Bacillus cytotoxicus
Bacillus halodurans
Bacillus licheniformis
Bacillus pumilus
Bacillus subtilis
Bacillus thuringiensis
Bacillus weihenstephanensis
Bacteroides fragilis
Bacteroides thetaiotaomicron
Bacteroides vulgatus
Bartonella bacilliformis
Bartonella henselae
Bartonella quintana
Bartonella tribocorum
Baumannia cicadellinicola
Bdellovibrio bacteriovorus
Beijerinckia indica
Bifidobacterium adolescentis
Bifidobacterium longum
Bordetella avium
Bordetella bronchiseptica
Bordetella parapertussis
Bordetella pertussis
Bordetella petrii
Borrelia afzelii
Borrelia burgdorferi
Borrelia duttonii
Borrelia garinii
Borrelia hermsii
Borrelia recurrentis
Borrelia turicatae
Bradyrhizobium japonicum
Bradyrhizobium sp.
Brucella abortus
Brucella canis
Brucella melitensis
Brucella ovis
Brucella suis
Buchnera aphidicola
Burkholderia ambifaria
Burkholderia cenocepacia
Burkholderia mallei
Burkholderia multivorans
Burkholderia phymatum
Burkholderia phytofirmans
Burkholderia pseudomallei
Burkholderia sp.
Burkholderia thailandensis
Burkholderia vietnamiensis
Burkholderia xenovorans
Caldicellulosiruptor saccharolyticus
Caldivirga maquilingensis
Campylobacter concisus
Campylobacter curvus
Campylobacter fetus
Campylobacter hominis
Campylobacter jejuni
Candidatus Amoebophilus
Candidatus Blochmannia
Candidatus Carsonella
Candidatus Desulforudis
Candidatus Korarchaeum
Candidatus Koribacter
Candidatus Pelagibacter
Candidatus Phytoplasma
Candidatus Protochlamydia
Candidatus Ruthia
Candidatus Solibacter
Candidatus Sulcia
Candidatus Vesicomyosocius
Carboxydothermus hydrogenoformans
Caulobacter crescentus
Caulobacter sp.
Cellvibrio japonicus
Chelativorans sp.
Chlamydia muridarum
Chlamydia trachomatis
Chlamydophila abortus
Chlamydophila caviae
