NC_008387	Flavobacterium_psychrophilum_JIP02_86
NC_009428	Salmonella_enterica_subsp._arizonae_serovar_62_z4_z23____str._RSK2980
NC_008011	Pyrococcus_abyssi_GE5
NC_000913	Francisella_tularensis_subsp._holarctica_LVS
NC_006153	Yersinia_pestis_biovar_Microtus_str._91001
NC_007503	Marinobacter_aquaeolei_VT8
NC_009930	Aeropyrum_pernix_K1
NC_010501	Prochlorococcus_marinus_str._MIT_9313
NC_010335	Phenylobacterium_zucineum_HLK1
NC_003383	Sinorhizobium_meliloti_1021
NC_009036	Staphylococcus_aureus_subsp._aureus_Mu50
NC_010515	Burkholderia_cenocepacia_MC0_3
NC_010180	Methylobacterium_radiotolerans_JCM_2831
NC_010505	Methylacidiphilum_infernorum_V4
NC_005835	Vibrio_fischeri_MJ11
NC_008146	Frankia_sp._CcI3
NC_009379	Nitrosomonas_eutropha_C91
NC_003317	Brucella_melitensis_bv._1_str._16M
NC_007776	Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18
NC_006831	Ehrlichia_ruminantium_str._Gardel
NC_007426	Myxococcus_xanthus_DK_1622
NC_008149	Xanthomonas_campestris_pv._vesicatoria_str._85_10
NC_007880	Klebsiella_pneumoniae_342
NC_010287	Chlamydia_trachomatis_434_Bu
NC_010802	Burkholderia_multivorans_ATCC_17616
NC_007949	Baumannia_cicadellinicola_str._Hc__Homalodisca_coagulata_
NC_002977	Herpetosiphon_aurantiacus_DSM_785
NC_008705	Psychrobacter_sp._PRwf_1
NC_007508	Vibrio_fischeri_MJ11
NC_010087	Burkholderia_multivorans_ATCC_17616
NC_011072	Streptococcus_thermophilus_LMG_18311
NC_007940	Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633
NC_010322	Prochlorococcus_marinus_subsp._marinus_str._CCMP1375
NC_007973	Haloquadratum_walsbyi_DSM_16790
NC_007511	Herminiimonas_arsenicoxydans
NC_007323	Bacillus_anthracis_str.__Ames_Ancestor_
NC_009004	Leptospira_interrogans_serovar_Copenhageni_str._Fiocruz_L1_130
NC_008702	Burkholderia_thailandensis_E264
NC_011094	Staphylococcus_aureus_subsp._aureus_JH9
NC_010168	Cupriavidus_taiwanensis_LMG_19424
NC_008531	Finegoldia_magna_ATCC_29328
NC_009998	Staphylococcus_aureus_RF122
NC_008228	Novosphingobium_aromaticivorans_DSM_12444
NC_008607	Mesorhizobium_loti_MAFF303099
NC_004669	Shewanella_oneidensis_MR_1
NC_009801	Escherichia_coli_E24377A
NC_008688	Saccharopolyspora_erythraea_NRRL_2338
NC_010159	Treponema_pallidum_subsp._pallidum_str._Nichols
NC_009650	Leptospira_biflexa_serovar_Patoc_strain__Patoc_1__Paris__
NC_010677	Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578
NC_006526	Oceanobacillus_iheyensis_HTE831
NC_009456	Acaryochloris_marina_MBIC11017
NC_003212	Ruegeria_pomeroyi_DSS_3
NC_009928	Aeromonas_salmonicida_subsp._salmonicida_A449
NC_009648	Leptospira_biflexa_serovar_Patoc_strain__Patoc_1__Ames__
NC_010630	Hydrogenobaculum_sp._Y04AAS1
NC_000907	Lactobacillus_casei_BL23
NC_007614	Clostridium_acetobutylicum_ATCC_824
NC_005945	Bacillus_anthracis_str._Sterne
NC_009469	Alkalilimnicola_ehrlichii_MLHE_1
NC_009656	Rhizobium_etli_CFN_42
NC_007651	Mycobacterium_gilvum_PYR_GCK
NC_005823	Mycoplasma_hyopneumoniae_232
NC_009708	Xylella_fastidiosa_9a5c
NC_009504	Roseobacter_denitrificans_OCh_114
NC_007335	Rhizobium_etli_CFN_42
NC_003037	Shewanella_frigidimarina_NCIMB_400
NC_008555	Dinoroseobacter_shibae_DFL_12
NC_011143	Mycobacterium_marinum_M
NC_010373	Heliobacterium_modesticaldum_Ice1
NC_010474	Bacillus_weihenstephanensis_KBAB4
NC_007761	Rhizobium_leguminosarum_bv._viciae_3841
NC_007650	Desulfotomaculum_reducens_MI_1
NC_010645	Burkholderia_ambifaria_MC40_6
NC_010163	Agrobacterium_tumefaciens_str._C58
NC_009777	Sphingomonas_wittichii_RW1
NC_010943	Streptococcus_pyogenes_MGAS6180
NC_005956	Lactobacillus_gasseri_ATCC_33323
NC_011025	Borrelia_duttonii_Ly
NC_010610	Sulfurihydrogenibium_sp._YO3AOP1
NC_008529	Leptospira_borgpetersenii_serovar_Hardjo_bovis_L550
NC_010635	Xylella_fastidiosa_M23
NC_004342	Mycoplasma_hyopneumoniae_J
NC_010794	Dictyoglomus_thermophilum_H_6_12
NC_000921	Lactococcus_lactis_subsp._cremoris_SK11
NC_003042	Clostridium_perfringens_str._13
NC_010118	Rickettsia_typhi_str._Wilmington
NC_004347	Listeria_innocua_Clip11262
NC_011003	Burkholderia_cenocepacia_J2315
NC_008346	Kineococcus_radiotolerans_SRS30216
NC_008700	Dinoroseobacter_shibae_DFL_12
NC_011126	Candidatus_Phytoplasma_australiense
NC_010680	Clostridium_botulinum_B_str._Eklund_17B
NC_003909	Bacillus_cereus_ATCC_10987
NC_006582	Haloarcula_marismortui_ATCC_43049
NC_008381	Rhodopseudomonas_palustris_HaA2
NC_008025	Pyrococcus_horikoshii_OT3
NC_003919	Herpetosiphon_aurantiacus_DSM_785
NC_006396	Synechocystis_sp._PCC_6803
NC_009718	Borrelia_afzelii_PKo
NC_011419	Haemophilus_influenzae_PittGG
NC_009256	Campylobacter_curvus_525.92
NC_009253	Candidatus_Carsonella_ruddii_PV
NC_004829	Pasteurella_multocida_subsp._multocida_str._Pm70
NC_009881	Sulfurimonas_denitrificans_DSM_1251
NC_007958	Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL254
NC_006395	Synechocystis_sp._PCC_6803
NC_010488	Helicobacter_pylori_G27
NC_009442	Yersinia_pestis_Antiqua
NC_008243	Thermobifida_fusca_YX
NC_002944	Orientia_tsutsugamushi_str._Ikeda
NC_003047	Pelobacter_propionicus_DSM_2379
NC_007484	Chlorobium_tepidum_TLS
NC_010999	Leptospira_biflexa_serovar_Patoc_strain__Patoc_1__Paris__
NC_008543	Burkholderia_cenocepacia_HI2424
NC_007404	Synechococcus_sp._JA_3_3Ab
NC_009937	Candidatus_Pelagibacter_ubique_HTCC1062
NC_009426	Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1
NC_005241	Rhizobium_etli_CFN_42
NC_010471	Burkholderia_ambifaria_MC40_6
NC_009636	Sphingomonas_wittichii_RW1
NC_009480	Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382
NC_010622	Candidatus_Amoebophilus_asiaticus_5a2
NC_005232	Shewanella_sp._MR_7
NC_008765	Anabaena_variabilis_ATCC_29413
NC_010627	Pelodictyon_phaeoclathratiforme_BU_1
NC_008319	Ochrobactrum_anthropi_ATCC_49188
NC_008150	Xanthomonas_oryzae_pv._oryzae_PXO99A
NC_008379	Rhodopseudomonas_palustris_CGA009
NC_007413	Azoarcus_sp._BH72
NC_008271	Nocardia_farcinica_IFM_10152
