r1	NC_009925.0
r2	NC_009925.1
r3	NC_009925.2
r4	NC_009925.3
r5	NC_009925.4
r6	NC_009926.10
r7	NC_009926.11
r8	NC_009926.12
r9	NC_009926.13
r10	NC_009926.14
r11	NC_009927.20
r12	NC_009927.21
r13	NC_009927.22
r14	NC_009927.23
r15	NC_009927.24
r16	NC_009928.30
r17	NC_009928.31
r18	NC_009928.32
r19	NC_009928.33
r20	NC_009928.34
r21	NC_009929.40
r22	NC_009929.41
r23	NC_009929.42
r24	NC_009929.43
r25	NC_009929.44
r26	NC_009930.50
r27	NC_009930.51
r28	NC_009930.52
r29	NC_009930.53
r30	NC_009930.54
r31	NC_009931.60
r32	NC_009931.61
r33	NC_009931.62
r34	NC_009931.63
r35	NC_009931.64
r36	NC_009932.70
r37	NC_009932.71
r38	NC_009932.72
r39	NC_009932.73
r40	NC_009932.74
r41	NC_009933.80
r42	NC_009933.81
r43	NC_009933.82
r44	NC_009933.83
r45	NC_009933.84
r46	NC_010163.0
r47	NC_010163.1
r48	NC_010163.2
r49	NC_010163.3
r50	NC_010163.4
r51	NC_009467.0
r52	NC_009467.1
r53	NC_009467.2
r54	NC_009467.3
r55	NC_009467.4
r56	NC_009468.10
r57	NC_009468.11
r58	NC_009468.12
r59	NC_009468.13
r60	NC_009468.14
r61	NC_009469.20
r62	NC_009469.21
r63	NC_009469.22
r64	NC_009469.23
r65	NC_009469.24
r66	NC_009484.30
r67	NC_009484.31
r68	NC_009484.32
r69	NC_009484.33
r70	NC_009484.34
r71	NC_011206.0
r72	NC_011206.1
r73	NC_011206.2
r74	NC_011206.3
r75	NC_011206.4
r76	NC_008009.0
r77	NC_008009.1
r78	NC_008009.2
r79	NC_008009.3
r80	NC_008009.4
r81	NC_008578.0
r82	NC_008578.1
r83	NC_008578.2
r84	NC_008578.3
r85	NC_008578.4
r86	NC_008765.0
r87	NC_008765.1
r88	NC_008765.2
r89	NC_008765.3
r90	NC_008765.4
r91	NC_008766.10
r92	NC_008766.11
r93	NC_008766.12
r94	NC_008766.13
r95	NC_008766.14
r96	NC_008782.20
r97	NC_008782.21
r98	NC_008782.22
r99	NC_008782.23
r100	NC_008782.24
r101	NC_008752.0
r102	NC_008752.1
r103	NC_008752.2
r104	NC_008752.3
r105	NC_008752.4
r106	NC_005966.0
r107	NC_005966.1
r108	NC_005966.2
r109	NC_005966.3
r110	NC_005966.4
r111	NC_008570.0
r112	NC_008570.1
r113	NC_008570.2
r114	NC_008570.3
r115	NC_008570.4
r116	NC_009348.0
r117	NC_009348.1
r118	NC_009348.2
r119	NC_009348.3
r120	NC_009348.4
r121	NC_009349.10
r122	NC_009349.11
r123	NC_009349.12
r124	NC_009349.13
r125	NC_009349.14
r126	NC_009350.20
r127	NC_009350.21
r128	NC_009350.22
r129	NC_009350.23
r130	NC_009350.24
r131	NC_000854.0
r132	NC_000854.1
r133	NC_000854.2
r134	NC_000854.3
r135	NC_000854.4
r136	NC_003062.0
r137	NC_003062.1
r138	NC_003062.2
r139	NC_003062.3
r140	NC_003062.4
r141	NC_003063.10
r142	NC_003063.11
r143	NC_003063.12
r144	NC_003063.13
r145	NC_003063.14
r146	NC_003064.20
r147	NC_003064.21
r148	NC_003064.22
r149	NC_003064.23
r150	NC_003064.24
r151	NC_003065.30
r152	NC_003065.31
r153	NC_003065.32
r154	NC_003065.33
r155	NC_003065.34
r156	NC_010655.0
r157	NC_010655.1
r158	NC_010655.2
r159	NC_010655.3
r160	NC_010655.4
r161	NC_008260.0
r162	NC_008260.1
r163	NC_008260.2
r164	NC_008260.3
r165	NC_008260.4
r166	NC_008340.0
r167	NC_008340.1
r168	NC_008340.2
r169	NC_008340.3
r170	NC_008340.4
r171	NC_009633.0
r172	NC_009633.1
r173	NC_009633.2
r174	NC_009633.3
r175	NC_009633.4
r176	NC_009922.0
r177	NC_009922.1
r178	NC_009922.2
r179	NC_009922.3
r180	NC_009922.4
r181	NC_011138.0
r182	NC_011138.1
r183	NC_011138.2
r184	NC_011138.3
r185	NC_011138.4
r186	NC_007410.0
r187	NC_007410.1
r188	NC_007410.2
r189	NC_007410.3
r190	NC_007410.4
r191	NC_007412.10
r192	NC_007412.11
r193	NC_007412.12
r194	NC_007412.13
r195	NC_007412.14
r196	NC_007413.20
r197	NC_007413.21
r198	NC_007413.22
r199	NC_007413.23
r200	NC_007413.24
r201	NC_009655.0
r202	NC_009655.1
r203	NC_009655.2
r204	NC_009655.3
r205	NC_009655.4
r206	NC_011313.0
r207	NC_011313.1
r208	NC_011313.2
r209	NC_011313.3
r210	NC_011313.4
r211	NC_011312.10
r212	NC_011312.11
r213	NC_011312.12
r214	NC_011312.13
r215	NC_011312.14
r216	NC_004842.0
r217	NC_004842.1
r218	NC_004842.2
r219	NC_004842.3
r220	NC_004842.4
r221	NC_007797.0
r222	NC_007797.1
r223	NC_007797.2
r224	NC_007797.3
r225	NC_007797.4
r226	NC_000918.0
r227	NC_000918.1
r228	NC_000918.2
r229	NC_000918.3
r230	NC_000918.4
r231	NC_000917.0
r232	NC_000917.1
r233	NC_000917.2
r234	NC_000917.3
r235	NC_000917.4
r236	NC_009850.0
r237	NC_009850.1
r238	NC_009850.2
r239	NC_009850.3
r240	NC_009850.4
r241	NC_007716.0
r242	NC_007716.1
r243	NC_007716.2
r244	NC_007716.3
r245	NC_007716.4
r246	NC_009675.0
r247	NC_009675.1
r248	NC_009675.2
r249	NC_009675.3
r250	NC_009675.4
r251	NC_011145.0
r252	NC_011145.1
r253	NC_011145.2
r254	NC_011145.3
r255	NC_011145.4
r256	NC_007760.0
r257	NC_007760.1
r258	NC_007760.2
r259	NC_007760.3
r260	NC_007760.4
r261	NC_008537.0
r262	NC_008537.1
r263	NC_008537.2
r264	NC_008537.3
r265	NC_008537.4
r266	NC_008538.10
r267	NC_008538.11
r268	NC_008538.12
r269	NC_008538.13
r270	NC_008538.14
r271	NC_008539.20
r272	NC_008539.21
r273	NC_008539.22
r274	NC_008539.23
r275	NC_008539.24
r276	NC_008541.30
r277	NC_008541.31
r278	NC_008541.32
r279	NC_008541.33
r280	NC_008541.34
r281	NC_008712.0
r282	NC_008712.1
r283	NC_008712.2
r284	NC_008712.3
r285	NC_008712.4
r286	NC_008713.10
r287	NC_008713.11
r288	NC_008713.12
r289	NC_008713.13
r290	NC_008713.14
r291	NC_008711.20
r292	NC_008711.21
r293	NC_008711.22
r294	NC_008711.23
r295	NC_008711.24
r296	NC_008702.0
r297	NC_008702.1
r298	NC_008702.2
r299	NC_008702.3
r300	NC_008702.4
r301	NC_006513.0
r302	NC_006513.1
r303	NC_006513.2
r304	NC_006513.3
r305	NC_006513.4
r306	NC_006823.10
r307	NC_006823.11
r308	NC_006823.12
r309	NC_006823.13
r310	NC_006823.14
r311	NC_006824.20
r312	NC_006824.21
r313	NC_006824.22
r314	NC_006824.23
r315	NC_006824.24
r316	NC_009937.0
r317	NC_009937.1
r318	NC_009937.2
r319	NC_009937.3
r320	NC_009937.4
r321	NC_002929.0
r322	NC_002929.1
r323	NC_002929.2
r324	NC_002929.3
r325	NC_002929.4
r326	NC_000956.0
r327	NC_000956.1
r328	NC_000956.2
r329	NC_000956.3
r330	NC_000956.4
r331	NC_001318.10
r332	NC_001318.11
r333	NC_001318.12
r334	NC_001318.13
r335	NC_001318.14
r336	NC_001855.20
r337	NC_001855.21
r338	NC_001855.22
r339	NC_001855.23
r340	NC_001855.24
r341	NC_001857.30
r342	NC_001857.31
r343	NC_001857.32
r344	NC_001857.33
r345	NC_001857.34
r346	NC_006129.0
r347	NC_006129.1
r348	NC_006129.2
r349	NC_006129.3
r350	NC_006129.4
r351	NC_006156.10
r352	NC_006156.11
r353	NC_006156.12
r354	NC_006156.13
r355	NC_006156.14
r356	NC_004463.0
r357	NC_004463.1
r358	NC_004463.2
r359	NC_004463.3
r360	NC_004463.4
r361	NC_003240.0
r362	NC_003240.1
r363	NC_003240.2
r364	NC_003240.3
r365	NC_003240.4
r366	NC_003267.10
r367	NC_003267.11
r368	NC_003267.12
r369	NC_003267.13
r370	NC_003267.14
r371	NC_003272.20
r372	NC_003272.21
r373	NC_003272.22
r374	NC_003272.23
r375	NC_003272.24
r376	NC_003273.30
r377	NC_003273.31
r378	NC_003273.32
r379	NC_003273.33
r380	NC_003273.34
r381	NC_003276.40
r382	NC_003276.41
r383	NC_003276.42
r384	NC_003276.43
r385	NC_003276.44
r386	NC_007509.0
r387	NC_007509.1
r388	NC_007509.2
r389	NC_007509.3
r390	NC_007509.4
r391	NC_007510.10
r392	NC_007510.11
r393	NC_007510.12
r394	NC_007510.13
r395	NC_007510.14
r396	NC_007511.20
r397	NC_007511.21
r398	NC_007511.22
r399	NC_007511.23
r400	NC_007511.24
r401	NC_007650.0
r402	NC_007650.1
r403	NC_007650.2
r404	NC_007650.3
r405	NC_007650.4
r406	NC_007651.10
r407	NC_007651.11
r408	NC_007651.12
r409	NC_007651.13
r410	NC_007651.14
r411	NC_005061.0
r412	NC_005061.1
r413	NC_005061.2
r414	NC_005061.3
r415	NC_005061.4
r416	NC_007292.0
r417	NC_007292.1
r418	NC_007292.2
r419	NC_007292.3
r420	NC_007292.4
r421	NC_007205.0
r422	NC_007205.1
r423	NC_007205.2
r424	NC_007205.3
r425	NC_007205.4
r426	NC_007503.0
r427	NC_007503.1
r428	NC_007503.2
r429	NC_007503.3
r430	NC_007503.4
r431	NC_002696.0
r432	NC_002696.1
r433	NC_002696.2
r434	NC_002696.3
r435	NC_002696.4
r436	NC_005027.0
r437	NC_005027.1
r438	NC_005027.2
r439	NC_005027.3
r440	NC_005027.4
r441	NC_002620.0
r442	NC_002620.1
r443	NC_002620.2
r444	NC_002620.3
r445	NC_002620.4
r446	NC_004552.0
r447	NC_004552.1
r448	NC_004552.2
r449	NC_004552.3
r450	NC_004552.4
r451	NC_003361.0
r452	NC_003361.1
r453	NC_003361.2
r454	NC_003361.3
r455	NC_003361.4
r456	NC_008095.0
r457	NC_008095.1
r458	NC_008095.2
r459	NC_008095.3
r460	NC_008095.4
r461	NC_008596.0
r462	NC_008596.1
r463	NC_008596.2
r464	NC_008596.3
r465	NC_008596.4
r466	NC_007514.0
r467	NC_007514.1
r468	NC_007514.2
r469	NC_007514.3
r470	NC_007514.4
r471	NC_002932.0
r472	NC_002932.1
r473	NC_002932.2
r474	NC_002932.3
r475	NC_002932.4
r476	NC_005085.0
r477	NC_005085.1
r478	NC_005085.2
r479	NC_005085.3
r480	NC_005085.4
r481	NC_001988.0
r482	NC_001988.1
r483	NC_001988.2
r484	NC_001988.3
r485	NC_001988.4
r486	NC_003030.10
r487	NC_003030.11
r488	NC_003030.12
r489	NC_003030.13
r490	NC_003030.14
r491	NC_004557.0
r492	NC_004557.1
r493	NC_004557.2
r494	NC_004557.3
r495	NC_004557.4
r496	NC_004565.10
r497	NC_004565.11
r498	NC_004565.12
r499	NC_004565.13
r500	NC_004565.14
r501	NC_003910.0
r502	NC_003910.1
r503	NC_003910.2
r504	NC_003910.3
r505	NC_003910.4
r506	NC_002935.0
r507	NC_002935.1
r508	NC_002935.2
r509	NC_002935.3
r510	NC_002935.4
r511	NC_004369.0
r512	NC_004369.1
r513	NC_004369.2
r514	NC_004369.3
r515	NC_004369.4
r516	NC_007164.0
r517	NC_007164.1
r518	NC_007164.2
r519	NC_007164.3
r520	NC_007164.4
r521	NC_008027.0
r522	NC_008027.1
r523	NC_008027.2
r524	NC_008027.3
r525	NC_008027.4
r526	NC_008571.0
r527	NC_008571.1
r528	NC_008571.2
r529	NC_008571.3
r530	NC_008571.4
r531	NC_007298.0
r532	NC_007298.1
r533	NC_007298.2
r534	NC_007298.3
r535	NC_007298.4
r536	NC_007356.0
r537	NC_007356.1
r538	NC_007356.2
r539	NC_007356.3
r540	NC_007356.4
r541	NC_002936.0
r542	NC_002936.1
r543	NC_002936.2
r544	NC_002936.3
r545	NC_002936.4
r546	NC_000958.0
r547	NC_000958.1
r548	NC_000958.2
r549	NC_000958.3
r550	NC_000958.4
r551	NC_001263.10
r552	NC_001263.11
r553	NC_001263.12
r554	NC_001263.13
r555	NC_001263.14
r556	NC_001264.20
r557	NC_001264.21
r558	NC_001264.22
r559	NC_001264.23
r560	NC_001264.24
r561	NC_006138.0
r562	NC_006138.1
r563	NC_006138.2
r564	NC_006138.3
r565	NC_006138.4
r566	NC_006139.10
r567	NC_006139.11
r568	NC_006139.12
r569	NC_006139.13
r570	NC_006139.14
r571	NC_007519.0
r572	NC_007519.1
r573	NC_007519.2
r574	NC_007519.3
r575	NC_007519.4
r576	NC_007355.0
r577	NC_007355.1
r578	NC_007355.2
r579	NC_007355.3
r580	NC_007355.4
r581	NC_003901.0
r582	NC_003901.1
r583	NC_003901.2
r584	NC_003901.3
r585	NC_003901.4
r586	NC_002677.0
r587	NC_002677.1
r588	NC_002677.2
r589	NC_002677.3
r590	NC_002677.4
r591	NC_007681.0
r592	NC_007681.1
r593	NC_007681.2
r594	NC_007681.3
r595	NC_007681.4
r596	NC_002977.0
r597	NC_002977.1
r598	NC_002977.2
r599	NC_002977.3
r600	NC_002977.4
r601	NC_007644.0
r602	NC_007644.1
r603	NC_007644.2
r604	NC_007644.3
r605	NC_007644.4
r606	NC_007633.0
r607	NC_007633.1
r608	NC_007633.2
r609	NC_007633.3
r610	NC_007633.4
r611	NC_004829.0
r612	NC_004829.1
r613	NC_004829.2
r614	NC_004829.3
r615	NC_004829.4
r616	NC_000908.0
r617	NC_000908.1
r618	NC_000908.2
r619	NC_000908.3
r620	NC_000908.4
r621	NC_006908.0
r622	NC_006908.1
r623	NC_006908.2
r624	NC_006908.3
r625	NC_006908.4
r626	NC_005364.0
r627	NC_005364.1
r628	NC_005364.2
r629	NC_005364.3
r630	NC_005364.4
r631	NC_004432.0
r632	NC_004432.1
r633	NC_004432.2
r634	NC_004432.3
