NC_008387	Flavobacterium psychrophilum JIP02 86
NC_009428	Salmonella enterica subsp. arizonae serovar 62 z4 z23    str. RSK2980
NC_008011	Pyrococcus abyssi GE5
NC_000913	Francisella tularensis subsp. holarctica LVS
NC_006153	Yersinia pestis biovar Microtus str. 91001
NC_007503	Marinobacter aquaeolei VT8
NC_009930	Aeropyrum pernix K1
NC_010501	Prochlorococcus marinus str. MIT 9313
NC_010335	Phenylobacterium zucineum HLK1
NC_003383	Sinorhizobium meliloti 1021
NC_009036	Staphylococcus aureus subsp. aureus Mu50
NC_010515	Burkholderia cenocepacia MC0 3
NC_010180	Methylobacterium radiotolerans JCM 2831
NC_010505	Methylacidiphilum infernorum V4
NC_005835	Vibrio fischeri MJ11
NC_008146	Frankia sp. CcI3
NC_009379	Nitrosomonas eutropha C91
NC_003317	Brucella melitensis bv. 1 str. 16M
NC_007776	Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_006831	Ehrlichia ruminantium str. Gardel
NC_007426	Myxococcus xanthus DK 1622
NC_008149	Xanthomonas campestris pv. vesicatoria str. 85 10
NC_007880	Klebsiella pneumoniae 342
NC_010287	Chlamydia trachomatis 434 Bu
NC_010802	Burkholderia multivorans ATCC 17616
NC_007949	Baumannia cicadellinicola str. Hc  Homalodisca coagulata 
NC_002977	Herpetosiphon aurantiacus DSM 785
NC_008705	Psychrobacter sp. PRwf 1
NC_007508	Vibrio fischeri MJ11
NC_010087	Burkholderia multivorans ATCC 17616
NC_011072	Streptococcus thermophilus LMG 18311
NC_007940	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633
NC_010322	Prochlorococcus marinus subsp. marinus str. CCMP1375
NC_007973	Haloquadratum walsbyi DSM 16790
NC_007511	Herminiimonas arsenicoxydans
NC_007323	Bacillus anthracis str.  Ames Ancestor 
NC_009004	Leptospira interrogans serovar Copenhageni str. Fiocruz L1 130
NC_008702	Burkholderia thailandensis E264
NC_011094	Staphylococcus aureus subsp. aureus JH9
NC_010168	Cupriavidus taiwanensis LMG 19424
NC_008531	Finegoldia magna ATCC 29328
NC_009998	Staphylococcus aureus RF122
NC_008228	Novosphingobium aromaticivorans DSM 12444
NC_008607	Mesorhizobium loti MAFF303099
NC_004669	Shewanella oneidensis MR 1
NC_009801	Escherichia coli E24377A
NC_008688	Saccharopolyspora erythraea NRRL 2338
NC_010159	Treponema pallidum subsp. pallidum str. Nichols
NC_009650	Leptospira biflexa serovar Patoc strain  Patoc 1  Paris  
NC_010677	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
NC_006526	Oceanobacillus iheyensis HTE831
NC_009456	Acaryochloris marina MBIC11017
NC_003212	Ruegeria pomeroyi DSS 3
NC_009928	Aeromonas salmonicida subsp. salmonicida A449
NC_009648	Leptospira biflexa serovar Patoc strain  Patoc 1  Ames  
NC_010630	Hydrogenobaculum sp. Y04AAS1
NC_000907	Lactobacillus casei BL23
NC_007614	Clostridium acetobutylicum ATCC 824
NC_005945	Bacillus anthracis str. Sterne
NC_009469	Alkalilimnicola ehrlichii MLHE 1
NC_009656	Rhizobium etli CFN 42
NC_007651	Mycobacterium gilvum PYR GCK
NC_005823	Mycoplasma hyopneumoniae 232
NC_009708	Xylella fastidiosa 9a5c
NC_009504	Roseobacter denitrificans OCh 114
NC_007335	Rhizobium etli CFN 42
NC_003037	Shewanella frigidimarina NCIMB 400
NC_008555	Dinoroseobacter shibae DFL 12
NC_011143	Mycobacterium marinum M
NC_010373	Heliobacterium modesticaldum Ice1
NC_010474	Bacillus weihenstephanensis KBAB4
NC_007761	Rhizobium leguminosarum bv. viciae 3841
NC_007650	Desulfotomaculum reducens MI 1
NC_010645	Burkholderia ambifaria MC40 6
NC_010163	Agrobacterium tumefaciens str. C58
NC_009777	Sphingomonas wittichii RW1
NC_010943	Streptococcus pyogenes MGAS6180
NC_005956	Lactobacillus gasseri ATCC 33323
NC_011025	Borrelia duttonii Ly
NC_010610	Sulfurihydrogenibium sp. YO3AOP1
NC_008529	Leptospira borgpetersenii serovar Hardjo bovis L550
NC_010635	Xylella fastidiosa M23
NC_004342	Mycoplasma hyopneumoniae J
NC_010794	Dictyoglomus thermophilum H 6 12
NC_000921	Lactococcus lactis subsp. cremoris SK11
NC_003042	Clostridium perfringens str. 13
NC_010118	Rickettsia typhi str. Wilmington
NC_004347	Listeria innocua Clip11262
NC_011003	Burkholderia cenocepacia J2315
NC_008346	Kineococcus radiotolerans SRS30216
NC_008700	Dinoroseobacter shibae DFL 12
NC_011126	Candidatus Phytoplasma australiense
NC_010680	Clostridium botulinum B str. Eklund 17B
NC_003909	Bacillus cereus ATCC 10987
NC_006582	Haloarcula marismortui ATCC 43049
NC_008381	Rhodopseudomonas palustris HaA2
NC_008025	Pyrococcus horikoshii OT3
NC_003919	Herpetosiphon aurantiacus DSM 785
NC_006396	Synechocystis sp. PCC 6803
NC_009718	Borrelia afzelii PKo
NC_011419	Haemophilus influenzae PittGG
NC_009256	Campylobacter curvus 525.92
NC_009253	Candidatus Carsonella ruddii PV
NC_004829	Pasteurella multocida subsp. multocida str. Pm70
NC_009881	Sulfurimonas denitrificans DSM 1251
NC_007958	Salmonella enterica subsp. enterica serovar Newport str. SL254
NC_006395	Synechocystis sp. PCC 6803
NC_010488	Helicobacter pylori G27
NC_009442	Yersinia pestis Antiqua
NC_008243	Thermobifida fusca YX
NC_002944	Orientia tsutsugamushi str. Ikeda
NC_003047	Pelobacter propionicus DSM 2379
NC_007484	Chlorobium tepidum TLS
NC_010999	Leptospira biflexa serovar Patoc strain  Patoc 1  Paris  
NC_008543	Burkholderia cenocepacia HI2424
NC_007404	Synechococcus sp. JA 3 3Ab
NC_009937	Candidatus Pelagibacter ubique HTCC1062
NC_009426	Mycoplasma mycoides subsp. mycoides SC str. PG1
NC_005241	Rhizobium etli CFN 42
NC_010471	Burkholderia ambifaria MC40 6
NC_009636	Sphingomonas wittichii RW1
NC_009480	Clavibacter michiganensis subsp. michiganensis NCPPB 382
NC_010622	Candidatus Amoebophilus asiaticus 5a2
NC_005232	Shewanella sp. MR 7
NC_008765	Anabaena variabilis ATCC 29413
NC_010627	Pelodictyon phaeoclathratiforme BU 1
NC_008319	Ochrobactrum anthropi ATCC 49188
NC_008150	Xanthomonas oryzae pv. oryzae PXO99A
NC_008379	Rhodopseudomonas palustris CGA009
NC_007413	Azoarcus sp. BH72
NC_008271	Nocardia farcinica IFM 10152
NC_003030	Methanosphaera stadtmanae DSM 3091
NC_010617	Halobacterium sp. NRC 1
NC_006138	Desulfococcus oleovorans Hxd3
NC_008533	Streptococcus thermophilus LMD 9
NC_003062	Arcobacter butzleri RM4018
NC_009515	Borrelia afzelii PKo
NC_010483	Borrelia burgdorferi B31
NC_004917	Thermococcus kodakarensis KOD1
NC_011060	Campylobacter concisus 13826
NC_009328	Brucella ovis ATCC 25840
NC_008061	Burkholderia cenocepacia AU 1054
NC_007516	Salinibacter ruber DSM 13855
NC_010804	Burkholderia multivorans ATCC 17616
